node_id,head,u,v_x,v_y,v_mag,q,phi
84,7.600968736692339,-14616.171232637933,0.5515326678807867,0.11492615891521885,0.5633793621909701,0.3391630126805303,0.03524190243750025
85,8.085177152092408,1227.822446724737,2.5394385647679734,-0.5365495651338422,2.5955025833306617,-0.9325183751106539,0.0568065672624698
86,8.22892339733988,-8585.592518443027,0.6535916299332893,-0.05524112006137469,0.6559219466251217,1.0973945944933376,0.05552263335510893
87,8.44278100569794,574.4366893152352,2.0592493051513068,-0.5198280576277823,2.1238476664448447,-1.7371247309152187,0.07609223191203414
88,8.584282761716487,-3696.1164649358643,1.8035882958179181,-0.38952406933508654,1.845172008622163,0.00013871690061673103,0.07959642260740932
89,8.708680657305926,1964.4942126725687,3.8315029184702483,-0.9598544674236941,3.949903190317359,-0.11547773510486792,0.09772954534599153
90,8.82738748501746,6894.48811578622,5.767190699850439,-1.6997582312495383,6.012459281620289,0.057776780294361174,4.973777842441667
91,8.997972550978222,6513.658241885885,5.723275392792668,-2.3210521106561615,6.176015230075739,0.12072443114749376,3.745306845240943
92,8.971800883884848,15506.031054165223,5.007176141029889,-2.689191956955509,5.683622637777175,1.7053025658242404e-13,13.096609565141005
93,9.00087380376209,19628.572014906105,3.718963469039593,-1.298210311941433,3.9390404032050848,-2.0961010704922955e-13,19.924442565733326
94,9.560981499037728,28920.081996214256,3.1284154190467586,-0.06042559437795087,3.128998927226635,4.973799150320701e-14,20.627547557765986
95,10.260045105339769,31908.882686566416,3.1371083200032763,-0.15384377796264304,3.1408783038270673,-2.1316282072803006e-14,19.23162268216926
96,10.70252547819203,42892.0381989394,2.990581659880123,-0.1412286321768873,2.9939145263280156,-7.105427357601002e-15,21.483121904211856
97,11.10441880770453,54158.4430051045,2.874066963459456,-0.12503606841879214,2.876785520134354,2.1316282072803006e-14,23.85117441460751
98,11.54356571117029,65269.261598453224,2.784382506281489,-0.11588972164949386,2.786793205257682,-7.105427357601002e-15,25.99899143488216
99,11.987974447369114,74659.93870826018,2.7033395957987523,-0.1153545310452639,2.7057996300624394,-6.039613253960852e-14,27.613639460994676
100,11.768827639205082,81619.48633138293,2.6626077937051282,-0.07011237351844242,2.663530740956387,-7.105427357601002e-15,29.93445831952587
101,12.120347189784864,93510.29975018432,2.60385393564257,-0.05604651230693363,2.6044570508463125,7.105427357601002e-15,32.27103657154354
102,12.324136933613865,103959.44576506727,2.5599679802163275,-0.04024562996747302,2.560284314380796,-7.105427357601002e-15,34.48976874564143
103,12.490847295355579,114060.02097833155,2.5310122664876085,-0.021789649804376823,2.53110605900846,-2.842170943040401e-14,36.64970964812757
104,12.746650420253836,125044.64062269013,2.5122878366017,-0.01248422986595755,2.512318855148008,-1.0658141036401503e-14,38.76552944111329
105,6.725821900050004,65980.31283949054,5.7233863727831045,-0.147928306949033,5.725297752620047,0.0,38.76552944111321
106,6.8515390913259,45870.02178238915,5.552472229863699,-0.26391911342777163,5.558740969126018,-1.4210854715202004e-13,26.434257798179353
107,7.048079602570624,27924.70575847844,5.423341483967199,-0.43754145947613315,5.4409627255183475,-2.842170943040401e-14,14.784249743211628
108,7.2878095931420965,11622.538324430547,4.932667429706735,-0.7225557020580923,4.985307885644207,0.000501034650199017,7.559892785984036
109,7.337780545823495,-3509.3128462746527,1.8023880375978325,-0.4709092864143657,1.8628897428745086,-0.0028233783204429375,0.027210912898738407
110,7.68668119008441,-19533.029262224885,0.004651927517400502,-0.0035530663810649185,0.005853606609211261,3.469446951953614e-17,0.018434954886118335
111,8.09115982166357,-24359.6352567922,0.003954485341992264,-0.00529408749090661,0.006607973719787747,1.3877787807814457e-17,0.019600060783896138
112,8.728217103568143,-27573.928873912482,0.007549596482263283,-0.0070554589295728646,0.010333242847813633,0.0,0.023106486528176134
113,8.44216705918224,-17447.174763028,0.007993124208380626,-0.006224828839687981,0.010131067500219887,3.2439329000766293e-16,0.040925551050596844
114,9.211159326288346,-18688.604038199217,0.00880671184931556,-0.00817256984594737,0.012014535841378283,-1.3877787807814457e-16,0.04769387624742373
115,8.710951812101959,-9376.52019522332,0.007015453311503323,-0.0065456277309558246,0.009594885489579374,-2.8599123069739107e-11,0.06475436892820861
116,9.192721080906296,-11936.887521397277,0.0069856120317553436,-0.008942358924314072,0.011347447227877491,1.942890293094024e-16,0.0686823123461888
117,9.177247788804241,-8515.12008759145,0.004938365539070059,-0.009252624600354968,0.010488017743719193,-3.5229840411737934e-06,0.09118306748630892
118,8.99669357569395,-7090.595475914401,2.236022086879859,-0.5512163210100693,2.302962050395628,0.2653325858694413,0.11491597293483805
119,9.33115920465543,-1669.9712679054269,3.8087624831303257,-2.017743438253775,4.310215799181898,-0.38684339205772744,0.1542263901085411
120,9.219799072585573,6250.65540706838,6.492588376776387,-4.220357428735035,7.743714913175125,0.002903065664895621,7.770990838284132
121,9.194209353006544,11715.193752994195,4.330472805238763,-1.873423219594203,4.718337554332796,6.039613253960852e-14,16.275112033740335
122,9.770780938596557,21254.112956666948,3.306543077572641,-0.1516580194659999,3.310019226335687,3.108624468950438e-14,17.243290040941584
123,10.528750028708652,24826.981988898184,3.2811348818585713,-0.2814789019165043,3.2931863726751303,2.842170943040401e-14,16.0770560088368
124,10.950414173021246,35564.72034820964,3.0906658831247538,-0.23858611049415523,3.0998611151521036,-6.394884621840902e-14,18.59742060548704
125,11.335625284911675,46583.4013527095,2.9465598160801036,-0.19686903568441638,2.9531292160942306,7.105427357601002e-15,21.11757753451972
126,11.641078415583772,57511.166650228435,2.8445716219958554,-0.1628031654666172,2.849226664088009,-4.618527782440651e-14,23.632641454038723
127,12.132004067371911,64394.714761431,2.7760292322587743,-0.17253655090897643,2.7813858343916986,7.105427357601002e-15,24.559224309513873
